project_id,window_start,window_end,window_precision,kind,validation,impact_kbd,source_company,source_document,source_date,source_url
ath_leismer,2030-01-01,2030-12-31,year,forward_schedule,guidance-sourced,,Athabasca Oil Corporation,Athabasca Oil Reports Strong 2026 First Quarter Results and Increased Cash Flow Outlook,2026-05-06,https://www.globenewswire.com/news-release/2026/05/06/3289532/0/en/Athabasca-Oil-Reports-Strong-2026-First-Quarter-Results-and-Increased-Cash-Flow-Outlook.html
cnq_horizon,,,,in_model_math,,,,,,"35-day turnaround began 2026-09-08, ~-29 kb/d annualized (CNRL Q2 2026 results); runs to ~2026-10-12, overlapping the window Oct 1-12."
cnq_horizon,2028-01-01,2028-12-31,year,forward_schedule,guidance-sourced,,Canadian Natural Resources Limited,2026 Budget press release,2025-12-16,https://boereport.com/2025/12/16/canadian-natural-resources-limited-announces-2026-budget/
cnq_primrose,2027-04-01,2027-04-30,month,turnaround,cadence-modeled,-26.0,,"ST53 seasonal dip analysis (model-computed, AER ST53)",2026-09-23,https://www.aer.ca/data-and-performance-reports/statistical-reports/st53
cve_christina_lake,2026-10-01,2026-12-31,quarter,none_found,guidance-sourced,,Cenovus Energy Inc.,Cenovus announces second-quarter 2026 results,2026-07-29,https://www.globenewswire.com/news-release/2026/07/29/3335023/0/en/cenovus-announces-second-quarter-2026-results.html
cve_christina_lake,2031-01-01,2031-12-31,year,forward_schedule,guidance-sourced,,Cenovus Energy Inc.,Cenovus Energy Inc. Q2 2026 earnings call transcript (2026-07-29),2026-07-29,https://www.marketbeat.com/earnings/reports/2026-7-29-cenovus-energy-inc-stock/
cve_foster_creek,2026-10-01,2026-12-31,quarter,none_found,guidance-sourced,,Cenovus Energy Inc.,Cenovus announces second-quarter 2026 results,2026-07-29,https://www.globenewswire.com/news-release/2026/07/29/3335023/0/en/cenovus-announces-second-quarter-2026-results.html
cve_sunrise,2026-10-01,2026-12-31,quarter,none_found,guidance-sourced,,Cenovus Energy Inc.,Cenovus announces second-quarter 2026 results,2026-07-29,https://www.globenewswire.com/news-release/2026/07/29/3335023/0/en/cenovus-announces-second-quarter-2026-results.html
imo_cold_lake,,,,in_model_math,,,,,,"3Q/4Q 2026 turnaround, 3 kbd annualized (Imperial 2026 guidance); Q4 portion falls in the window."
imo_kearl,2026-10-01,2027-12-31,exact,none_found,guidance-sourced,,Imperial Oil Limited,2026 Corporate guidance (via Oil Sands Magazine 2026-01-15),2026-01-15,https://www.oilsandsmagazine.com/market-insights/2026/1/15/2026-production-forecast-oil-sands-mining-amp-upgrading
imo_kearl,2029-01-01,2029-12-31,year,forward_schedule,guidance-sourced,,Imperial Oil Limited,Imperial Oil (IMO) Q2 2026 earnings call transcript,2026-07-31,https://www.fool.com/earnings/call-transcripts/2026/08/07/imperial-oil-imo-q2-2026-earnings-call-transcript/
su_base_plant,2026-10-01,2026-12-31,quarter,turnaround,public-confirmed,-15.0,Suncor Energy Inc.,2026 planned maintenance table (Q4 2025 / Q1 2026 investor presentations),2026-04-01,https://api-gw-dev.stocktwits.com/earnings-api/v1/documents/b7e9767d-053f-4926-a9c7-651f1f4d5d03/slides.pdf
su_base_plant,2026-10-01,2026-12-31,quarter,turnaround,public-confirmed,-5.0,Suncor Energy Inc.,2026 planned maintenance table (Q4 2025 / Q1 2026 investor presentations),2026-04-01,https://api-gw-dev.stocktwits.com/earnings-api/v1/documents/b7e9767d-053f-4926-a9c7-651f1f4d5d03/slides.pdf
su_firebag,2031-01-01,2031-12-31,year,forward_schedule,guidance-sourced,,Suncor Energy Inc.,Suncor Energy Q2 2026 earnings call transcript,2026-08-05,https://www.marketbeat.com/earnings/reports/2026-8-4-suncor-energy-inc-stock/
su_mackay_river,2027-09-01,2027-09-30,month,turnaround,cadence-modeled,-12.0,,"ST53 seasonal dip analysis (model-computed, AER ST53)",2026-09-23,https://www.aer.ca/data-and-performance-reports/statistical-reports/st53
syncrude,,,,in_model_math,,,,,,"Coker 8-2 turnaround planned start 2026-08-20, ~50 days (Suncor Q2 2026 call; deferred from Q2 per Imperial Q2 2026 call), running to ~2026-10-09, overlapping the window Oct 1-9. Paired disposition (mine dial-back 45%, Base redirect offset) approved 2026-09-23."
